time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,assess_in_year,assess_issued,assess_issued_pc,assess_not_issued,assess_not_issued_pc,assess_not_made,assess_not_made_pc,assess_withdrawn,assess_withdrawn_pc,outcome_decision_within_time,outcome_decision_over_time,outcome_decision_within_time_pc,outcome_decision_over_time_pc,number_assess_mediation,number_assess_tribunal,number_asssess_mediation_tribunal,number_other_mediation,number_other_tribunal,number_other_mediation_tribunal
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,All EHC needs assessments,All EHC needs assessments,x,305,x,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,All EHC needs assessments,All EHC needs assessments,x,293,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,All EHC needs assessments,All EHC needs assessments,x,293,x,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,All EHC needs assessments,All EHC needs assessments,x,275,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,All EHC needs assessments,All EHC needs assessments,x,409,x,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,All EHC needs assessments,All EHC needs assessments,x,328,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,All EHC needs assessments,All EHC needs assessments,x,254,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,All EHC needs assessments,All EHC needs assessments,x,181,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,All EHC needs assessments,All EHC needs assessments,x,103,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,All EHC needs assessments,All EHC needs assessments,x,1005,x,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,All EHC needs assessments,All EHC needs assessments,x,95,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,All EHC needs assessments,All EHC needs assessments,x,186,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,All EHC needs assessments,All EHC needs assessments,x,521,x,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,All EHC needs assessments,All EHC needs assessments,x,307,x,37,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000006,909,Cumbria,All EHC needs assessments,All EHC needs assessments,x,507,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,All EHC needs assessments,All EHC needs assessments,x,202,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,All EHC needs assessments,All EHC needs assessments,x,218,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,All EHC needs assessments,All EHC needs assessments,x,303,x,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,All EHC needs assessments,All EHC needs assessments,x,397,x,63,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,380,Bradford,All EHC needs assessments,All EHC needs assessments,x,427,x,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,All EHC needs assessments,All EHC needs assessments,x,169,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,All EHC needs assessments,All EHC needs assessments,x,403,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,All EHC needs assessments,All EHC needs assessments,x,594,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,384,Wakefield,All EHC needs assessments,All EHC needs assessments,x,346,x,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",All EHC needs assessments,All EHC needs assessments,x,320,x,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,811,East Riding of Yorkshire,All EHC needs assessments,All EHC needs assessments,x,391,x,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,812,North East Lincolnshire,All EHC needs assessments,All EHC needs assessments,x,197,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,813,North Lincolnshire,All EHC needs assessments,All EHC needs assessments,x,121,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,815,North Yorkshire,All EHC needs assessments,All EHC needs assessments,x,433,x,62,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,816,York,All EHC needs assessments,All EHC needs assessments,x,150,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,All EHC needs assessments,All EHC needs assessments,x,519,x,28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,831,Derby,All EHC needs assessments,All EHC needs assessments,x,251,x,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,855,Leicestershire,All EHC needs assessments,All EHC needs assessments,x,760,x,53,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,All EHC needs assessments,All EHC needs assessments,x,268,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,857,Rutland,All EHC needs assessments,All EHC needs assessments,x,31,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,891,Nottinghamshire,All EHC needs assessments,All EHC needs assessments,x,363,x,149,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,892,Nottingham,All EHC needs assessments,All EHC needs assessments,x,159,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,925,Lincolnshire,All EHC needs assessments,All EHC needs assessments,x,747,x,76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,928,Northamptonshire,All EHC needs assessments,All EHC needs assessments,x,608,x,135,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,All EHC needs assessments,All EHC needs assessments,x,898,x,153,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,331,Coventry,All EHC needs assessments,All EHC needs assessments,x,272,x,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
